type,entry_price,qty,entry_index,timestamp,exit_price,pnl
CloseShort (Reversal),,,,2022-07-18 00:00:00,0.4587,-8.461597848183422
OpenLong,0.5023,270.23185132896924,3237.0,2022-07-19 12:00:00,,
CloseLong,,,,2022-07-21 12:00:00,0.4762,-7.581895052736878
OpenShort,0.4676,564.3563361684038,3277.0,2022-07-26 04:00:00,,
CloseShort (Stop),,,,2022-07-27 16:00:00,0.49098,-14.276612533065903
OpenLong,0.5464,228.41911626947262,3303.0,2022-07-30 12:00:00,,
CloseLong,,,,2022-08-01 08:00:00,0.5125,-8.22715404597062
OpenLong,0.5582,216.22111806996512,3385.0,2022-08-13 04:00:00,,
CloseLong,,,,2022-08-15 08:00:00,0.5476,-2.770138476265177
OpenShort,0.4462,534.7806314142624,3497.0,2022-08-31 20:00:00,,
CloseShort (Reversal),,,,2022-09-02 00:00:00,0.4582,-7.384678783073273
OpenLong,0.494,234.04295440685289,3516.0,2022-09-04 00:00:00,,
CloseLong,,,,2022-09-06 16:00:00,0.4826,-3.125222378785593
OpenLong,0.5171,220.5658640255125,3552.0,2022-09-10 00:00:00,,
CloseLong,,,,2022-09-12 16:00:00,0.4988,-4.4845010341939116
OpenShort,0.4705,475.2916377066761,3574.0,2022-09-13 16:00:00,,
CloseShort (Stop),,,,2022-09-21 16:00:00,0.46425600000000006,2.0791575656481625
OpenLong,0.4184,269.7226017048748,3850.0,2022-10-29 16:00:00,,
CloseLong,,,,2022-10-30 20:00:00,0.4008,-5.189031300639066
OpenShort,0.3856,571.8745897458512,3875.0,2022-11-02 20:00:00,,
CloseShort (Stop),,,,2022-11-04 00:00:00,0.40488,-11.929852941704622
OpenLong,0.4289,243.16272891617578,3888.0,2022-11-05 00:00:00,,
CloseLong,,,,2022-11-06 20:00:00,0.4172,-3.256483898191206
OpenShort,0.388,529.1971777476916,3906.0,2022-11-08 00:00:00,,
CloseShort (Stop),,,,2022-11-08 16:00:00,0.38344800000000007,1.5924093443492608
OpenShort,0.3085,670.7322992235127,4081.0,2022-12-07 04:00:00,,
CloseShort (Stop),,,,2022-12-16 08:00:00,0.297752,6.395765156316594
OpenShort,0.2515,848.1776519553488,4207.0,2022-12-28 04:00:00,,
CloseShort (Reversal),,,,2023-01-02 20:00:00,0.2538,-2.8079769345633983
OpenLong,0.2681,392.59362650542107,4251.0,2023-01-04 12:00:00,,
CloseLong,,,,2023-01-16 12:00:00,0.3385,27.162296718305274
OpenLong,0.3811,311.8223553535976,4358.0,2023-01-22 08:00:00,,
CloseLong,,,,2023-01-24 20:00:00,0.3687,-4.334206010472855
OpenShort,0.3798,614.3675440759326,4545.0,2023-02-22 12:00:00,,
CloseShort (Stop),,,,2023-03-03 00:00:00,0.343304,21.53345463141229
OpenLong,0.3646,349.5203618643054,4665.0,2023-03-14 12:00:00,,
CloseLong,,,,2023-03-15 12:00:00,0.3274,-13.485893642172345
OpenShort,0.3433,703.1294909096392,4743.0,2023-03-27 12:00:00,,
CloseShort (Stop),,,,2023-03-28 12:00:00,0.36046500000000004,-13.05889356380403
OpenLong,0.3934,290.1950440588143,4766.0,2023-03-31 08:00:00,,
CloseLong,,,,2023-04-02 12:00:00,0.3811,-4.018911165170529
OpenLong,0.4211,266.3340649493049,4846.0,2023-04-13 16:00:00,,
CloseLong,,,,2023-04-17 08:00:00,0.4378,3.9902702278834887
OpenShort,0.3902,585.0764216509177,4951.0,2023-05-01 04:00:00,,
CloseShort (TP),,,,2023-05-11 12:00:00,0.35118,21.962154057851695
OpenShort,0.365,685.6410240713419,5048.0,2023-05-17 08:00:00,,
CloseShort (Reversal),,,,2023-05-17 16:00:00,0.3779,-9.863494644085526
OpenShort,0.3653,658.0768659785225,5066.0,2023-05-20 08:00:00,,
CloseShort (Reversal),,,,2023-05-23 00:00:00,0.3739,-6.632361886077939
OpenLong,0.3828,305.33322525584686,5117.0,2023-05-28 20:00:00,,
CloseLong,,,,2023-05-30 12:00:00,0.3745,-2.9967234725960266
OpenShort,0.3634,635.0203461290046,5138.0,2023-06-01 08:00:00,,
CloseShort (Reversal),,,,2023-06-02 08:00:00,0.3753,-8.494921178306159
OpenShort,0.3571,622.4348154717843,5163.0,2023-06-05 12:00:00,,
CloseShort (Stop),,,,2023-06-07 12:00:00,0.338208,10.893470720540817
OpenShort,0.2742,850.3462557458606,5300.0,2023-06-28 08:00:00,,
CloseShort (Stop),,,,2023-06-30 04:00:00,0.28791,-12.614223433910361
OpenShort,0.2839,776.8605843311188,5345.0,2023-07-05 20:00:00,,
CloseShort (Reversal),,,,2023-07-06 04:00:00,0.288,-4.073701532115515
OpenShort,0.2853,758.7697804398496,5368.0,2023-07-09 16:00:00,,
CloseShort (Reversal),,,,2023-07-11 00:00:00,0.2902,-4.5913159414415405
OpenShort,0.2863,740.0827887462366,5389.0,2023-07-13 04:00:00,,
CloseShort (Reversal),,,,2023-07-13 12:00:00,0.3112,-19.312460372333028
OpenLong,0.3112,310.1443919881591,5391.0,2023-07-13 12:00:00,,
CloseLong,,,,2023-07-16 16:00:00,0.316,1.099647956233225
OpenShort,0.3015,642.3644776184004,5502.0,2023-08-01 00:00:00,,
CloseShort (Reversal),,,,2023-08-10 00:00:00,0.3008,-0.3241371154062588
OpenShort,0.2973,650.3489838094231,5557.0,2023-08-10 04:00:00,,
CloseShort (TP),,,,2023-08-16 20:00:00,0.26757000000000003,18.600150027685277
OpenShort,0.261,812.0647621234741,5672.0,2023-08-29 08:00:00,,
CloseShort (Reversal),,,,2023-08-29 12:00:00,0.2738,-11.263013424747719
OpenShort,0.2591,774.5499401369318,5685.0,2023-08-31 12:00:00,,
CloseShort (Reversal),,,,2023-09-18 08:00:00,0.2539,3.23297145013154
OpenShort,0.247,825.582432953889,5812.0,2023-09-21 16:00:00,,
CloseShort (Reversal),,,,2023-09-29 00:00:00,0.2507,-3.876439755691675
OpenLong,0.2549,392.39392150631403,5859.0,2023-09-29 12:00:00,,
CloseLong,,,,2023-10-03 20:00:00,0.2574,0.5789379917904165
OpenLong,0.2565,391.07477422165556,5990.0,2023-10-21 08:00:00,,
CloseLong,,,,2023-10-31 12:00:00,0.292,13.454145457547607
OpenLong,0.3071,348.543641539005,6059.0,2023-11-01 20:00:00,,
CloseLong,,,,2023-11-07 16:00:00,0.3373,10.076814929262484
OpenLong,0.3657,306.47022089488564,6102.0,2023-11-09 00:00:00,,
CloseLong,,,,2023-11-13 08:00:00,0.3705,1.0198103070498126
OpenLong,0.4084,275.6759670293452,6253.0,2023-12-04 04:00:00,,
CloseLong,,,,2023-12-11 00:00:00,0.5441,36.884066008691256
OpenLong,0.626,209.31006060563934,6309.0,2023-12-13 12:00:00,,
CloseLong,,,,2023-12-15 20:00:00,0.61,-3.8663754395073733
OpenShort,0.5251,491.69647769711105,6503.0,2024-01-14 20:00:00,,
CloseShort (Reversal),,,,2024-01-16 12:00:00,0.5422,-9.457585069912856
OpenShort,0.4953,502.1850098300831,6633.0,2024-02-05 12:00:00,,
CloseShort (Reversal),,,,2024-02-08 04:00:00,0.5277,-17.29826484860701
OpenLong,0.5434,212.94991766675852,6656.0,2024-02-09 08:00:00,,
CloseLong,,,,2024-02-17 12:00:00,0.5809,7.506782727637967
OpenLong,0.6208,192.44583863391685,6708.0,2024-02-18 00:00:00,,
CloseLong,,,,2024-02-20 12:00:00,0.6135,-1.879926419279275
OpenLong,0.6836,173.39147661541244,6775.0,2024-02-29 04:00:00,,
CloseLong,,,,2024-03-05 16:00:00,0.72,5.824705195646225
OpenShort,0.6309,384.98261534987813,6967.0,2024-04-01 04:00:00,,
CloseShort (TP),,,,2024-04-03 00:00:00,0.56781,23.3655881807317
OpenShort,0.5912,450.3571045415593,7019.0,2024-04-09 20:00:00,,
CloseShort (Stop),,,,2024-04-12 16:00:00,0.5013839999999999,39.465167768087824
OpenShort,0.4695,651.1529030310068,7112.0,2024-04-25 08:00:00,,
CloseShort (Stop),,,,2024-04-30 08:00:00,0.449072,12.105489854231376
OpenShort,0.4493,707.3709722396818,7182.0,2024-05-07 00:00:00,,
CloseShort (Reversal),,,,2024-05-09 00:00:00,0.4632,-11.123408538469013
OpenLong,0.4805,319.1450252745266,7243.0,2024-05-17 04:00:00,,
CloseLong,,,,2024-05-19 08:00:00,0.4755,-2.205930414697529
OpenLong,0.4896,310.96041551687347,7264.0,2024-05-20 16:00:00,,
CloseLong,,,,2024-05-23 12:00:00,0.4746,-5.264062298035828
OpenShort,0.4615,648.3821810966125,7285.0,2024-05-24 04:00:00,,
CloseShort (Reversal),,,,2024-06-04 00:00:00,0.461,-0.8720740335749436
OpenLong,0.4839,308.28301564632335,7370.0,2024-06-07 08:00:00,,
CloseLong,,,,2024-06-07 16:00:00,0.4505,-10.872772022227045
OpenShort,0.4457,645.0157741087834,7375.0,2024-06-08 04:00:00,,
CloseShort (TP),,,,2024-06-14 16:00:00,0.40113,27.65591563605139
OpenShort,0.385,818.5440159904833,7487.0,2024-06-26 20:00:00,,
CloseShort (Reversal),,,,2024-06-27 20:00:00,0.3913,-6.427698739966846
OpenLong,0.4156,371.4048934268157,7520.0,2024-07-02 08:00:00,,
CloseLong,,,,2024-07-03 16:00:00,0.4019,-5.695494040700236
OpenShort,0.3778,802.0546674845659,7534.0,2024-07-04 16:00:00,,
CloseShort (Stop),,,,2024-07-05 00:00:00,0.33696000000000004,31.609359431807125
OpenLong,0.4089,409.17780974257295,7581.0,2024-07-12 12:00:00,,
CloseLong,,,,2024-07-18 12:00:00,0.4298,7.865461365557594
OpenShort,0.3236,1058.3778559117236,7786.0,2024-08-15 16:00:00,,
CloseShort (Stop),,,,2024-08-16 08:00:00,0.33978,-18.528767112761155
OpenLong,0.3766,430.1145871750831,7822.0,2024-08-21 16:00:00,,
CloseLong,,,,2024-08-26 04:00:00,0.3775,-0.2615956919198804
OpenShort,0.3503,924.0671178086003,7859.0,2024-08-27 20:00:00,,
CloseShort (TP),,,,2024-09-04 00:00:00,0.31527,31.14000843363553
OpenLong,0.364,487.4185711565773,7959.0,2024-09-13 12:00:00,,
CloseLong,,,,2024-09-15 08:00:00,0.3503,-7.3739605955993905
OpenShort,0.3367,1031.9773068202817,7975.0,2024-09-16 04:00:00,,
CloseShort (Reversal),,,,2024-09-19 12:00:00,0.352,-17.210698336764548
OpenLong,0.3684,448.23026719547266,8023.0,2024-09-24 04:00:00,,
CloseLong,,,,2024-09-28 08:00:00,0.3925,10.120232618792826
OpenShort,0.3664,928.9746001321429,8067.0,2024-10-01 12:00:00,,
CloseShort (Stop),,,,2024-10-02 16:00:00,0.352768,11.327604138545682
OpenShort,0.3435,1023.8832536447242,8162.0,2024-10-17 08:00:00,,
CloseShort (Reversal),,,,2024-10-19 00:00:00,0.3549,-13.10242922024077
OpenShort,0.3497,968.2627063389248,8201.0,2024-10-23 20:00:00,,
CloseShort (Stop),,,,2024-10-25 20:00:00,0.339144,8.887017216743038
OpenShort,0.3418,1016.6427314905354,8249.0,2024-10-31 20:00:00,,
CloseShort (Reversal),,,,2024-11-01 12:00:00,0.3524,-12.187919722201134
OpenLong,0.3733,449.10335641744416,8286.0,2024-11-07 00:00:00,,
CloseLong,,,,2024-11-13 00:00:00,0.555,80.76827456952499
OpenLong,0.6472,321.43760852193196,8337.0,2024-11-15 12:00:00,,
CloseLong,,,,2024-11-25 20:00:00,0.9364,91.94169919083207
OpenLong,1.1297,224.84311749208678,8425.0,2024-11-30 04:00:00,,
CloseLong,,,,2024-12-05 00:00:00,1.1401,1.3176706057506176
OpenLong,1.027,247.96894365500071,8628.0,2025-01-03 00:00:00,,
CloseLong,,,,2025-01-07 12:00:00,1.0575,6.529270255379871
OpenShort,0.9127,565.1993870086023,8662.0,2025-01-08 16:00:00,,
CloseShort (Stop),,,,2025-01-09 00:00:00,0.958335,-27.9078896962809
OpenShort,0.9765,499.69236131742997,8737.0,2025-01-21 04:00:00,,
CloseShort (Stop),,,,2025-01-21 16:00:00,1.025325,-26.398072863712052
OpenShort,0.7526,613.2760004820069,8910.0,2025-02-19 00:00:00,,
CloseShort (Reversal),,,,2025-02-20 04:00:00,0.7809,-19.23662830711911
OpenLong,0.8659,255.40760460540432,8979.0,2025-03-02 12:00:00,,
CloseLong,,,,2025-03-07 00:00:00,0.8854,4.085857613914485
OpenShort,0.7808,571.722268531703,9020.0,2025-03-09 08:00:00,,
CloseShort (Stop),,,,2025-03-09 16:00:00,0.760552,9.813781969138192
OpenShort,0.7141,638.8664462101833,9091.0,2025-03-21 04:00:00,,
CloseShort (Reversal),,,,2025-03-24 08:00:00,0.7318,-13.155410087070884
OpenShort,0.7042,629.1665991928728,9134.0,2025-03-28 08:00:00,,
CloseShort (TP),,,,2025-03-31 08:00:00,0.63378,42.62228726238597
OpenShort,0.607,800.1341127084135,9248.0,2025-04-16 08:00:00,,
CloseShort (Reversal),,,,2025-04-17 04:00:00,0.6194,-11.884231949235497
OpenShort,0.615,770.4019096988154,9272.0,2025-04-20 08:00:00,,
CloseShort (Reversal),,,,2025-04-21 04:00:00,0.6432,-23.663973219072695
OpenLong,0.6794,331.27259438158575,9287.0,2025-04-22 20:00:00,,
CloseLong,,,,2025-04-27 00:00:00,0.6996,5.778056591203618
OpenLong,0.7693,296.31564918555983,9383.0,2025-05-08 20:00:00,,
CloseLong,,,,2025-05-12 16:00:00,0.7813,2.636853698972463
OpenLong,0.8381,273.56408038174135,9468.0,2025-05-23 00:00:00,,
CloseLong,,,,2025-05-23 20:00:00,0.7571,-23.031469352970944
OpenShort,0.7508,580.0701147880978,9499.0,2025-05-28 04:00:00,,
CloseShort (Stop),,,,2025-05-31 00:00:00,0.688168,34.66154676353536
OpenShort,0.6613,710.9907590298491,9593.0,2025-06-12 20:00:00,,
CloseShort (TP),,,,2025-06-18 12:00:00,0.59517,45.23114177664747
OpenShort,0.5469,942.4196941361979,9705.0,2025-07-01 12:00:00,,
CloseShort (Stop),,,,2025-07-02 12:00:00,0.5742450000000001,-27.883644792119046
OpenLong,0.6221,391.83868022099955,9754.0,2025-07-09 16:00:00,,
CloseLong,,,,2025-07-23 12:00:00,0.8526,89.1631267874966
OpenLong,0.8238,350.0174876902551,9942.0,2025-08-10 00:00:00,,
CloseLong,,,,2025-08-11 12:00:00,0.7844,-14.916485262402983
OpenLong,0.8797,319.29767389795455,9962.0,2025-08-13 08:00:00,,
CloseLong,,,,2025-08-18 08:00:00,0.9011,5.695759626061265
